bucket_month,event_type,developer_id,developer_name,repo_artifact_namespace,project_id,relationship_type
2024-07-01,COMMIT_CODE,rNIx1ZUSCVJUGMnsxJ2poeQcnDPUVmJNyx+s96vh+G4=,0xtekgrinder,angleprotocol,eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,BUILDER
2024-04-01,COMMIT_CODE,rNIx1ZUSCVJUGMnsxJ2poeQcnDPUVmJNyx+s96vh+G4=,0xtekgrinder,angleprotocol,eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,BUILDER
2024-06-01,COMMIT_CODE,rNIx1ZUSCVJUGMnsxJ2poeQcnDPUVmJNyx+s96vh+G4=,0xtekgrinder,angleprotocol,eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,BUILDER
2024-07-01,COMMIT_CODE,KkMojRlum5qpaLIuSqOdYXp/asNN/UCuYKaEXcTX0RE=,defidebauchery,beefyfinance,IC4gXIZe/sWGrV5sOyeoSlqkS7t4BZd40afZT+2Q7bA=,BUILDER
2024-08-01,COMMIT_CODE,opcm4j2gBPDaKIhe/7KptLVWPeyccjAufedF4kkhHO0=,sahar-fehri,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-06-01,COMMIT_CODE,opcm4j2gBPDaKIhe/7KptLVWPeyccjAufedF4kkhHO0=,sahar-fehri,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-02-01,COMMIT_CODE,opcm4j2gBPDaKIhe/7KptLVWPeyccjAufedF4kkhHO0=,sahar-fehri,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2025-03-01,COMMIT_CODE,opcm4j2gBPDaKIhe/7KptLVWPeyccjAufedF4kkhHO0=,sahar-fehri,metamask,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,BUILDER
2024-10-01,COMMIT_CODE,jsZkcwoaN2j0YUHnYtBOu5jVJLMpSu0RrkAjHVKDQCA=,canhtrinh,axelarnetwork,v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,BUILDER
2024-08-01,COMMIT_CODE,xR2hPdRLEiEN5xtMjVA+bZ0ktTmBO+D/i5T2T0kcU7M=,bmzig,across-protocol,PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,BUILDER
