bucket_month,project_id,developer_id,developer_name,event_type,repo_artifact_namespace,relationship_type
2024-03-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,COMMIT_CODE,uniswap,BUILDER
2024-08-01,hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,O0flV4PEmHJcl2trC/40rkpZF/LT98rJv5OoY177pKY=,sakulstra,COMMIT_CODE,bgd-labs,BUILDER
2024-02-01,hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,O0flV4PEmHJcl2trC/40rkpZF/LT98rJv5OoY177pKY=,sakulstra,COMMIT_CODE,bgd-labs,BUILDER
2024-02-01,M7mj4E6rVNxqX6O3QbNNaworQ4q/zn9J1XKeZ4Ch2lY=,cp8YzXoSQil9Zj3fWjSg3U2lyIeQnJjT4+CHVGJs++k=,josemarinas,COMMIT_CODE,aragon,BUILDER
2024-08-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,COMMIT_CODE,uniswapfoundation,BUILDER
2024-08-01,g6Z4CSsse62oS12pTQrmQ5gu1iLt74uJP5rwFgdhX1c=,rElaMyz2sdeJoE2xtikiM7VzSMLfJqB3dNSd+NwSSNY=,wertusser,COMMIT_CODE,paraswap,BUILDER
2024-08-01,qq5IK/i1ov0oG5rnxG3ksWRaZh/o+gYAt/FUgQ6/jzA=,rElaMyz2sdeJoE2xtikiM7VzSMLfJqB3dNSd+NwSSNY=,wertusser,COMMIT_CODE,paraswap,BUILDER
2024-11-01,o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,S6fG7HsXxCdNRergFyg3wrAcb6jE10jD4R8L7UYHALE=,ravinagill15,COMMIT_CODE,layerzero-labs,BUILDER
2024-02-01,dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,OERDcAflnjRQ6c6BCzvNXHZlJry/OZD4hPLQNUw2AkM=,cryptotavares,COMMIT_CODE,metamask,BUILDER
2024-09-01,tI9+ol8dLfp7deTjbL+mWR3TKqivSnB0UJR4QN0Nh9M=,OqYqC/bbDDhSUwTas1pfvRE/GhnjdPLDN0F/c6oVA5I=,dimlbc,COMMIT_CODE,dhedge,BUILDER
2024-09-01,gUAJqDzlGG+FoZlO0a2/gjAMHgPjyorXA2SSKShTWcI=,s0y0fhANfDtQR/fGTEg6MAxMn3wHz+cHYqmVX1/P1LQ=,iainnash,COMMIT_CODE,ourzora,BUILDER
2024-09-01,kTkreG4cdDVfyYwAlEk1raV8V+oIiEpV/7qlX2wEgqo=,JZjfnU/dNa0BxIIctfsZLL3fW0ZC3wWlOprGuwPIKW4=,siegrift,COMMIT_CODE,api3dao,BUILDER
2024-09-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,COMMIT_CODE,uniswapfoundation,BUILDER
2024-01-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,COMMIT_CODE,uniswap,BUILDER
2024-01-01,cIAKWrgGpr2ANu098+em+GXcYNxfZjFHr8BAX4KudgY=,M0ZdVRyij80yLpUUw9Pj9uUbrqEjQtbA1bBZ6I7xchk=,attens1423,COMMIT_CODE,dodoex,BUILDER
2024-10-01,aGpGH8qz3FmBNtMGV/yB4PSWzsO7SlVKvqR+vk3+7NE=,Jqbdls3mOcM8beWEK0ZVEdVNzP8ND8S18urk7qTBIEU=,jameslawton,COMMIT_CODE,0xsequence,BUILDER
2024-10-01,gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,/HFkDRex5raY697wWI48cvrmd92j3O7wLk2SMm7gppY=,remedcu,COMMIT_CODE,safe-global,BUILDER
2024-10-01,k2yKacP1bWm7Kb+gqwS+X3TUSPr/fk406J7H+MdgO+Q=,j0m2BuakXS0vjsrH68In06uB2WwW2bm8Rb14yXKKzVs=,tomiohl,COMMIT_CODE,guildxyz,BUILDER
2024-10-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,LXxjLS/aCIHP/QOrEiYP1p2RyNpP/Iq9208tz/6zFR0=,jsy1218,COMMIT_CODE,uniswap,BUILDER
2024-05-01,sf0AvWU1WZLtC4wh/FDYTRU3hyXTux1NqPmabzUABnc=,bQDJX7Bj5htVtLgBctNsjIZt8SNK6oBild/koPDvsdY=,hylance,COMMIT_CODE,defieye,BUILDER
2024-05-01,gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,mwjJolA/2x7p41uX9Yol5U1+rEtXCe/i1SnVLh3m1tw=,iamacook,COMMIT_CODE,safe-global,BUILDER
2024-05-01,gw1/n9hvDoPA0W0U9NMZ74RsNSQViz+i6ArfdDqPn8E=,j0m2BuakXS0vjsrH68In06uB2WwW2bm8Rb14yXKKzVs=,tomiohl,COMMIT_CODE,guildxyz,BUILDER
2024-06-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,LXxjLS/aCIHP/QOrEiYP1p2RyNpP/Iq9208tz/6zFR0=,jsy1218,COMMIT_CODE,uniswap,BUILDER
2024-10-01,p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,i+v0OyVukGbiAgcg6EqktysSn73jk5ITW/Zhgk5f88I=,ardordocc,COMMIT_CODE,balancer,BUILDER
2024-10-01,hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,tOJr5m6a+JKD7GRjXAxsAIhniLb0kgCowXk3dFguKvY=,carlomazzaferro,COMMIT_CODE,worldcoin,BUILDER
2024-10-01,KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,1Uwuv4Muj0zTH/GZeVRIYPsDSWttC1unYIw8DwxytrQ=,slavik0329,COMMIT_CODE,ethereum-attestation-service,BUILDER
2024-11-01,hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,BT502PhuKTLMgzbZ6NGezHlDG9514bPXMZ8o4sMIlRc=,ewoolsey,COMMIT_CODE,worldcoin,BUILDER
2024-11-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,COMMIT_CODE,uniswapfoundation,BUILDER
2025-02-01,pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,K98oIOAyL0Zx/2SMuv2Hvwk0JDDAgyc0/+5xkOKptGk=,saucepoint,COMMIT_CODE,uniswap,BUILDER
2024-09-01,sf0AvWU1WZLtC4wh/FDYTRU3hyXTux1NqPmabzUABnc=,bQDJX7Bj5htVtLgBctNsjIZt8SNK6oBild/koPDvsdY=,hylance,COMMIT_CODE,defieye,BUILDER
2024-03-01,XXpPLHBtaupfaGGuGkhTSlO2QRxEq4ADsUmSdge25u8=,CU9RpyCJNqROiGpMU3AKsFbi18Hle2ITSS8iswavzwk=,dbeal-eth,COMMIT_CODE,synthetixio,BUILDER
2024-03-01,ckq4jTDZI8VgQseutflTvtvIG5SawYliPbHPn3thsIw=,Rh7DFpOjZmcsrRCxL+MnyPNTzMOXN0kArQT2VqWe3ns=,vanya2h,COMMIT_CODE,rarible,BUILDER
2024-03-01,bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,+6dvUt6vc/puJjHEAixSt7ELurwO0IX7mTHvidDCSLs=,simplyoptimistic,COMMIT_CODE,velodrome-finance,BUILDER
2024-05-01,hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,BT502PhuKTLMgzbZ6NGezHlDG9514bPXMZ8o4sMIlRc=,ewoolsey,COMMIT_CODE,worldcoin,BUILDER
2024-05-01,kTkreG4cdDVfyYwAlEk1raV8V+oIiEpV/7qlX2wEgqo=,JZjfnU/dNa0BxIIctfsZLL3fW0ZC3wWlOprGuwPIKW4=,siegrift,COMMIT_CODE,api3dao,BUILDER
